Temperature;Fe2O3;Fe3O4;FeO;Fe
1046;0;0.01;39.71;40.37
1047;0;0.01;38.97;41.11
1049;0;0.01;38.29;41.79
1050;0;0.01;37.52;42.56
1051;0;0.01;36.76;43.32
1053;0;0.01;36.04;44.04
1054;0;0.01;35.3;44.78
1055;0;0.01;34.58;45.5
1057;0;0.01;33.92;46.16
1059;0;0.01;33.2;46.88
1062;0;0.01;32.49;47.59
1065;0;0.01;31.82;48.26
1068;0;0.01;31.12;48.96
1071;0;0.01;30.49;49.59
1074;0;0.01;29.85;50.23
1077;0;0.01;29.21;50.87
1080;0;0.01;28.56;51.52
1083;0;0.01;27.96;52.12
1086;0;0.01;27.31;52.77
1088;0;0.01;26.7;53.38
1092;0;0.01;26.09;53.99
1093;0;0.01;25.45;54.63
1094;0;0.01;24.82;55.26
1096;0;0.01;24.24;55.84
1097;0;0.01;23.64;56.44
1098;0;0.01;23.07;57.01
1100;0;0.01;22.48;57.6
1101;0;0.01;21.91;58.17
1103;0;0.01;21.39;58.69
1104;0;0.01;20.87;59.21
1105;0;0.01;20.33;59.75
1106;0;0.01;19.79;60.29
1108;0;0.01;19.27;60.81
1109;0;0.01;18.75;61.33
1110;0;0.01;18.25;61.83
1112;0;0.01;17.77;62.31
1113;0;0.01;17.3;62.78
1115;0;0.01;16.76;63.32
1116;0;0.01;16.27;63.81
1117;0;0.01;15.8;64.28
1119;0;0.01;15.33;64.75
1120;0;0.01;14.89;65.19
1121;0;0.01;14.44;65.64
1123;0;0.01;13.99;66.09
1124;0;0.01;13.57;66.51
1126;0;0.01;13.15;66.93
1129;0;0.01;12.71;67.37
1132;0;0.01;12.31;67.77
1135;0;0.01;11.91;68.17
1138;0;0.01;11.49;68.59
1141;0;0.01;11.09;68.99
1144;0;0.01;10.69;69.39
1147;0;0.01;10.34;69.74
1149;0;0.01;9.94;70.14
1151;0;0.01;9.57;70.51
1152;0;0.01;9.21;70.87
1154;0;0.01;8.84;71.24
1155;0;0.01;8.49;71.59
1157;0;0.01;8.17;71.91
1158;0;0.01;7.85;72.23
1160;0;0.01;7.54;72.54
1161;0;0.01;7.24;72.84
1163;0;0.01;6.9;73.18
1164;0;0.01;6.62;73.46
1165;0;0.01;6.32;73.76
1167;0;0.01;6.02;74.06
1168;0;0.01;5.76;74.32
1170;0;0.01;5.47;74.61
1171;0;0.01;5.23;74.85
1172;0;0.01;5;75.08
1174;0;0.01;4.78;75.3
1175;0;0.01;4.5;75.58
1177;0;0.01;4.26;75.82
1178;0;0.01;4.01;76.07
1179;0;0.01;3.77;76.31
1181;0;0.01;3.52;76.56
1182;0;0.01;3.32;76.76
1185;0;0.01;3.1;76.98
1188;0;0.01;2.88;77.2
1190;0;0.01;2.68;77.4
1194;0;0.01;2.51;77.57
1197;0;0.01;2.34;77.74
1199;0;0.01;2.14;77.94
1203;0;0.01;1.99;78.09
Total time:;120.57;s;;
Inclusion:;20;%;;
